date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:47	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2018%20Sep%202020%2003:15:47%20GMT	http://moon-template.webflow.io/robots.txt		(from )
23:15:48	8126/8126	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2003:15:47%20GMT	http://moon-template.webflow.io/	C:/My%20Web%20Sites/az/moon-template.webflow.io/index.html	(from )
23:15:48	43409/43409	---M-Z	200	added ('OK')	text/css	etag:%220d95b3ac1b956fba4ed1e70b0673957b%22	https://daks2k3a4ib2z.cloudfront.net/56d6955f710a7126338b8b1c/css/moon-template.webflow.37a45f006.css	C:/My%20Web%20Sites/az/daks2k3a4ib2z.cloudfront.net/56d6955f710a7126338b8b1c/css/moon-template.webflow.37a45f006.css	(from http://moon-template.webflow.io/)
23:15:49	17698/17698	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/My%20Web%20Sites/az/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://moon-template.webflow.io/)
23:15:49	5267/5267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a89f4997162bf61e019b926e08682bdf%22	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	C:/My%20Web%20Sites/az/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from http://moon-template.webflow.io/)
23:15:49	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	C:/My%20Web%20Sites/az/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from http://moon-template.webflow.io/)
23:15:49	8187/8187	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2003:15:49%20GMT	http://moon-template.webflow.io/all-posts	C:/My%20Web%20Sites/az/moon-template.webflow.io/all-posts.html	(from http://moon-template.webflow.io/)
23:15:50	4637/4637	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2003:15:49%20GMT	http://moon-template.webflow.io/about	C:/My%20Web%20Sites/az/moon-template.webflow.io/about.html	(from http://moon-template.webflow.io/)
23:15:50	5051/5051	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2003:15:50%20GMT	http://moon-template.webflow.io/contact	C:/My%20Web%20Sites/az/moon-template.webflow.io/contact.html	(from http://moon-template.webflow.io/)
23:15:50	16644/16644	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2003:15:50%20GMT	http://moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano	C:/My%20Web%20Sites/az/moon-template.webflow.io/posts/coffee-variety-macchiato-as-organic-ut-variety-caffeine-americano.html	(from http://moon-template.webflow.io/)
